AIF	ACORN INCOME FUND LD	ORD 1P	GB0004829437	SHRS	Shares			13/09/1999	Guernsey	GBX	MAIN MARKET	Premium Equity Closed Ended Investment Funds	SSQ3	SQQ3
AIFZ	ACORN INCOME FUND LD	RED ZDP 1P	GG00BYMJ7X48	SHRS	Shares			01/02/2017	Guernsey	GBX	MAIN MARKET	Standard Shares	SSQ3	SQS3
AHCG	ACTION HOTELS PLC	ORD 10P	JE00BFZD1492	SHRS	Shares	Consumer Services	Travel & Leisure	23/12/2013	Jersey	GBX	AIM		ASQ1	AMQ1
AEG	ACTIVE ENERGY GROUP PLC	ORD 1P	GB00B1YMN108	SHRS	Shares	Oil & Gas	Oil & Gas	02/07/2007	United Kingdom	GBX	AIM		ASQ1	AMQ1
ACT	ACTUAL EXPERIENCE PLC	ORD 0.2P	GB00BJ05QC14	SHRS	Shares	Technology	Technology	13/02/2014	United Kingdom	GBX	AIM		ASQ1	AMQ1
ADAM	ADAMAS FINANCE ASIA LIMITED	ORD NPV (DI)	VGG008271246	SHRS	Shares	Financials	Financial Services	21/09/2017	British Virgin Islands	USD	AIM		ASQ1	AMQ1
ADA	ADAMS PLC	ORD EUR0.01	IM00B986V543	SHRS	Shares	Financials	Real Estate	13/08/2018	Isle of Man	GBX	AIM		ASQ1	AMQ1
AD4	ADEPT4 PLC 	ORD 1P	GB00B8GRBX01	SHRS	Shares	Technology	Technology	02/04/2013	United Kingdom	GBX	AIM		ASX1	AIMP
ADT	ADEPT TELECOM PLC	ORD 10P	GB00B0WY3Y47	SHRS	Shares	Telecommunications	Telecommunications	19/09/2006	United Kingdom	GBX	AIM		ASX1	AIMP
ADES	ADES INTERNATIONAL HOLDING LTD	ORD USD1.00 (DI)	AEDFXA1EN018	SHRS	Shares	Oil & Gas	Oil & Gas	12/05/2017	United Arab Emirates	USD	MAIN MARKET	Standard Shares	SSMU	SMEU
ADM	ADMIRAL GROUP PLC	ORD 0.1P	GB00B02J6398	SHRS	Shares	Financials	Insurance	20/12/2004	United Kingdom	GBX	MAIN MARKET	Premium Equity Commercial Companies	SET1	FS10
AMS	ADVANCED MEDICAL SOLUTIONS GROUP PLC	ORD 5P	GB0004536594	SHRS	Shares	Health Care	Health Care	30/04/2002	United Kingdom	GBX	AIM		AMSM	AS50
AVO	ADVANCED ONCOTHERAPY PLC	ORD 25P	GB00BD6SX109	SHRS	Shares	Health Care	Health Care	01/07/2016	United Kingdom	GBX	AIM		ASX1	AIMP
AFN	ADVFN PLC	ORD 0.2P	GB00BPT24C10	SHRS	Shares	Financials	Financial Services	21/08/2014	United Kingdom	GBX	AIM		ASX1	AIMP
87FZ	AECI LD	5 1/2% CUM PRF R2	ZAE000000238	SHRS	Shares	Basic Materials	Chemicals	28/06/2002	South Africa	GBX	MAIN MARKET	Standard Shares	SSX4	SXSN
AEO	AEOREMA COMMUNICATIONS PLC	ORD 12.5P	GB00B4QHH456	SHRS	Shares	Consumer Services	Media	29/06/2009	United Kingdom	GBX	AIM		ASX1	AIMP
AEWL	AEW UK LONG LEASE REIT PLC	ORD GBP0.01	GB00BDVK7088	SHRS	Shares	Financials	Real Estate	06/06/2017	United Kingdom	GBX	MAIN MARKET	Premium Equity Closed Ended Investment Funds	SSQ3	SQQ3
AEWU	AEW UK REIT PLC	ORD GBP0.01	GB00BWD24154	SHRS	Shares	Financials	Real Estate	12/05/2015	United Kingdom	GBX	MAIN MARKET	Premium Equity Closed Ended Investment Funds	SSQ3	SQQ3
AFRK	AFARAK GROUP PLC	ORD NPV (DI)	FI0009800098	SHRS	Shares	Basic Materials	Basic Resources	26/07/2010	Finland	GBX	MAIN MARKET	Standard Shares	SSQ3	SQS3
AFC	AFC ENERGY PLC	ORD 0.1P	GB00B18S7B29	SHRS	Shares	Oil & Gas	Oil & Gas	24/04/2007	United Kingdom	GBX	AIM		AMSM	ASM6
AFHP	AFH FINANCIAL GROUP PLC	ORD 10P	GB00B4W5WQ08	SHRS	Shares	Financials	Financial Services	30/06/2014	United Kingdom	GBX	AIM		ASQ1	AMQ1
53GI	AFI DEVELOPMENT PLC	GDR (EACH REPR 1 ORD) (144A)	US00106J1016	DPRS	Depositary receipts	Financials	Real Estate	11/05/2007	Cyprus	USD	MAIN MARKET	Standard GDRs	MISC	INTM
AFID	AFI DEVELOPMENT PLC	GDR (EACH REPR 1 ORD) (REG S)	US00106J2006	DPRS	Depositary receipts	Financials	Real Estate	03/05/2007	Cyprus	USD	MAIN MARKET	Standard GDRs	IOBE	LLHE
AFRB	AFI DEVELOPMENT PLC	B ORD USD0.001	CY0101380612	SHRS	Shares	Financials	Real Estate	05/07/2010	Cyprus	USD	MAIN MARKET	Premium Equity Commercial Companies	SET3	ON10
ABM	AFRICAN BATTERY METALS PLC	ORD 0.1P	GB00BYWJZ743	SHRS	Shares	Basic Materials	Basic Resources	29/08/2018	United Kingdom	GBX	AIM		ASQ1	AMQ1
AOF	AFRICA OPPORTUNITY FUND LIMITED	ORD USD0.01	KYG012921048	SHRS	Shares	Financials	Financial Services	24/07/2007	Cayman Islands	USD	MAIN MARKET - SFS		SFM3	SFNC
ATM	AFRITIN MINING LIMITED	ORD NPV	GG00BD95V148	SHRS	Shares	Basic Materials	Basic Resources	09/11/2017	Guernsey	GBX	AIM		ASQ1	AMQ1
AMPH	AGGREGATED MICRO POWER HOLDINGS PLC	ORD 0.5P	GB00BC4F3V69	SHRS	Shares	Utilities	Utilities	18/07/2014	United Kingdom	GBX	AIM		ASQ1	AMQ1
AGK	AGGREKO PLC	ORD 4 329/395P	GB00BK1PTB77	SHRS	Shares	Industrials	Industrial Goods & Services	28/05/2014	United Kingdom	GBX	MAIN MARKET	Premium Equity Commercial Companies	STMM	F25F
AGTA	AGRITERRA LD	ORD 10P	GG00BDG13C09	SHRS	Shares	Consumer Goods	Food & Beverage	01/12/2017	Guernsey	GBX	AIM		AMSM	ASM8
AIBG	AIB GROUP PLC	ORD EUR0.625	IE00BF0L3536	SHRS	Shares	Financials	Banks	11/12/2017	Ireland	EUR	MAIN MARKET	Premium Equity Commercial Companies	SET3	ON5
AIQ	AIQ LIMITED	ORDS GBP0.01 (DI)	KYG0180A1022	SHRS	Shares	Financials	Financial Services	09/01/2018	Cayman Islands	GBX	MAIN MARKET	Standard Shares	SSQ3	SQS3
AIRC	AIR CHINA LD	H SHS CNY1	CNE1000001S0	SHRS	Shares	Consumer Services	Travel & Leisure	17/10/2007	China	GBX	MAIN MARKET	Standard Shares	SSX4	SXSN
AIEA	AIREA PLC	ORD 25P	GB0008123027	SHRS	Shares	Consumer Goods	Personal & Household Goods	21/12/2005	United Kingdom	GBX	AIM		ASX1	AIMP
AIR	AIR PARTNER PLC	ORD 1P	GB00BD736828	SHRS	Shares	Consumer Services	Travel & Leisure	31/01/2017	United Kingdom	GBX	MAIN MARKET	Premium Equity Commercial Companies	SET3	ON15
AKR	AKERS BIOSCIENCES, INC.	COM SHS NPV	US00973E1029	SHRS	Shares	Health Care	Health Care	22/11/2013	United States	GBX	AIM		ASX1	AIMP
ALBA	ALBA MINERAL RESOURCES PLC	ORD 0.1P	GB00B06KBB18	SHRS	Shares	Basic Materials	Basic Resources	04/04/2005	United Kingdom	GBX	AIM		ASQ1	AMQ1
ALB	ALBERT TECHNOLOGIES LTD	ORD NIS0.01 (DI)	IL0011354904	SHRS	Shares	Technology	Technology	11/06/2015	Israel	GBX	AIM		ASQ1	AMQ1
AADV	ALBION DEVELOPMENT VCT PLC	ORD 1P	GB0004832472	SHRS	Shares	Financials	Financial Services	27/01/1999	United Kingdom	GBX	MAIN MARKET	Premium Equity Closed Ended Investment Funds	SSQ3	SQQ3
AAEV	ALBION ENTERPRISE VCT PLC	ORD 1P	GB00B1G3LR35	SHRS	Shares	Financials	Financial Services	10/04/2007	United Kingdom	GBX	MAIN MARKET	Premium Equity Closed Ended Investment Funds	SSQ3	SQQ3
AATG	ALBION TECHNOLOGY & GENERAL VCT PLC	ORD 1P	GB0005581672	SHRS	Shares	Financials	Financial Services	17/01/2001	United Kingdom	GBX	MAIN MARKET	Premium Equity Closed Ended Investment Funds	SSQ3	SQQ3
AAVC	ALBION VENTURE CAPITAL TST PLC	ORD 1P	GB0002039625	SHRS	Shares	Financials	Financial Services	14/09/1999	United Kingdom	GBX	MAIN MARKET	Premium Equity Closed Ended Investment Funds	SSQ3	SQQ3
AEFS	ALCENTRA EUROPEAN FLOATING RATE INCOME FUND LIMITED	RED ORD NPV GBP	GG00B6116N85	SHRS	Shares	Financials	Financial Services	06/03/2012	Guernsey	GBX	MAIN MARKET	Premium Equity Closed Ended Investment Funds	SSMM	SSC6
AXM	ALEXANDER MINING PLC	ORD 0.1P	GB00B06K1665	SHRS	Shares	Basic Materials	Basic Resources	04/04/2005	United Kingdom	GBX	AIM		ASX1	AIMP
ALFA	ALFA FINANCIAL SOFTWARE HOLDINGS PLC	ORD 0.1P	GB00BDHXPG30	SHRS	Shares	Technology	Technology	01/06/2017	United Kingdom	GBX	MAIN MARKET	Premium Equity Commercial Companies	SSMM	SSC4
AAA	ALL ASIA ASSET CAPITAL LIMITED	ORD NPV (DI)	VGG017801082	SHRS	Shares	Financials	Financial Services	02/05/2013	British Virgin Islands	GBX	AIM		ASQ1	AMQ1
AGY	ALLERGY THERAPEUTICS PLC	ORD 0.1P	GB00B02LCQ05	SHRS	Shares	Health Care	Health Care	11/10/2004	United Kingdom	GBX	AIM		ASQ1	AMQ1
APH	ALLIANCE PHARMA PLC	ORD 1P	GB0031030819	SHRS	Shares	Health Care	Health Care	24/03/2005	United Kingdom	GBX	AIM		AMSM	AS50
ATST	ALLIANCE TRUST PLC	ORD 2.5P	GB00B11V7W98	SHRS	Shares	Financials	Financial Services	21/06/2006	United Kingdom	GBX	MAIN MARKET	Premium Equity Closed Ended Investment Funds	STMM	F25F
ATT	ALLIANZ TECHNOLOGY TRUST PLC	ORD 25P	GB0003390720	SHRS	Shares	Financials	Financial Services	01/05/2007	United Kingdom	GBX	MAIN MARKET	Premium Equity Closed Ended Investment Funds	SSMM	SSC6
ALM	ALLIED MINDS PLC	ORD 1P	GB00BLRLH124	SHRS	Shares	Financials	Financial Services	25/06/2014	United Kingdom	GBX	MAIN MARKET	Premium Equity Commercial Companies	SSMM	SSC5
AFM	ALPHA FINANCIAL MARKETS CONSULTING PLC	ORD 0.075P	GB00BF16C058	SHRS	Shares	Industrials	Industrial Goods & Services	11/10/2017	United Kingdom	GBX	AIM		ASQ1	AMQ1
AFX	ALPHA FX GROUP PLC	ORD 0.2P	GB00BF1TM596	SHRS	Shares	Financials	Financial Services	07/04/2017	United Kingdom	GBX	AIM		ASQ1	AMQ1
ALGW	ALPHA GROWTH PLC	ORD GBP0.001	GB00BYWKBC49	SHRS	Shares	Financials	Financial Services	20/12/2017	United Kingdom	GBX	MAIN MARKET	Standard Shares	SSQ3	SQS3
ARTL	ALPHA REAL TRUST LIMITED	ORD NPV	GB00B13VDP26	SHRS	Shares	Financials	Real Estate	21/12/2006	Guernsey	GBX	MAIN MARKET - SFS		SFM2	SFQQ
ALF	ALTERNATIVE LIQUIDITY FUND LIMITED	ORD USD0.01	GG00BYRGPD65	SHRS	Shares	Financials	Financial Services	17/09/2015	Guernsey	USD	MAIN MARKET	Premium Equity Closed Ended Investment Funds	SET3	ON10
ALT	ALTITUDE GROUP PLC	ORD 0.4P	GB00B0LSFV82	SHRS	Shares	Industrials	Industrial Goods & Services	19/09/2006	United Kingdom	GBX	AIM		ASQ1	AMQ1
ANR	ALTONA ENERGY PLC	ORD 0.01P	GB00B06GJT32	SHRS	Shares	Basic Materials	Basic Resources	10/03/2005	United Kingdom	GBX	AIM		ASX1	AIMP
ALS	ALTUS STRATEGIES PLC	ORD 1P	GB00BYT26M80	SHRS	Shares	Basic Materials	Basic Resources	10/08/2017	United Kingdom	GBX	AIM		ASQ1	AMQ1
