CC1G	AMUNDI INDEX SOLUTIONS	AMUNDI MSCI CHINA	LU1681044050	ETFS	18/04/2018	Luxembourg	GBX	MAIN MARKET
CC1U	AMUNDI INDEX SOLUTIONS	AMUNDI MSCI CHINA	LU1681044050	ETFS	18/04/2018	Luxembourg	USD	MAIN MARKET
CE9G	AMUNDI INDEX SOLUTIONS	AMUNDI MSCI EASTERN EUROPE EX RUSSIA	LU1681043839	ETFS	18/04/2018	Luxembourg	GBX	MAIN MARKET
CE9U	AMUNDI INDEX SOLUTIONS	AMUNDI MSCI EASTERN EUROPE EX RUSSIA	LU1681043839	ETFS	18/04/2018	Luxembourg	USD	MAIN MARKET
CEUR	AMUNDI INDEX SOLUTIONS	AMUNDI MSCI EUROPE	LU1681042609	ETFS	22/03/2018	Luxembourg	GBX	MAIN MARKET
CI2G	AMUNDI INDEX SOLUTIONS	AMUNDI MSCI INDIA	LU1681043169	ETFS	18/04/2018	Luxembourg	GBX	MAIN MARKET
CI2U	AMUNDI INDEX SOLUTIONS	AMUNDI MSCI INDIA	LU1681043169	ETFS	18/04/2018	Luxembourg	USD	MAIN MARKET
CJ1G	AMUNDI INDEX SOLUTIONS	AMUNDI INDEX MSCI JAPAN DR	LU1602144815	ETFS	14/02/2018	Luxembourg	GBX	MAIN MARKET
CJ1U	AMUNDI INDEX SOLUTIONS	AMUNDI INDEX MSCI JAPAN DR	LU1602144815	ETFS	14/02/2018	Luxembourg	USD	MAIN MARKET
CMU	AMUNDI INDEX SOLUTIONS	AMUNDI INDEX MSCI EMU DR	LU1602144575	ETFS	14/02/2018	Luxembourg	GBX	MAIN MARKET
CN1	AMUNDI INDEX SOLUTIONS	AMUNDI MSCI NORDIC	LU1681044647	ETFS	22/03/2018	Luxembourg	GBX	MAIN MARKET
CP9G	AMUNDI INDEX SOLUTIONS	AMUNDI INDEX MSCI PACIFIC EX JAPAN DR	LU1602145036	ETFS	14/02/2018	Luxembourg	GBX	MAIN MARKET
CP9U	AMUNDI INDEX SOLUTIONS	AMUNDI INDEX MSCI PACIFIC EX JAPAN DR	LU1602145036	ETFS	14/02/2018	Luxembourg	USD	MAIN MARKET
CSWG	AMUNDI INDEX SOLUTIONS	AMUNDI MSCI SWITZERLAND	LU1681044993	ETFS	22/03/2018	Luxembourg	GBX	MAIN MARKET
CSWU	AMUNDI INDEX SOLUTIONS	AMUNDI MSCI SWITZERLAND	LU1681044993	ETFS	22/03/2018	Luxembourg	USD	MAIN MARKET
CU2G	AMUNDI INDEX SOLUTIONS	AMUNDI MSCI USA	LU1681042948	ETFS	18/04/2018	Luxembourg	GBX	MAIN MARKET
CU2U	AMUNDI INDEX SOLUTIONS	AMUNDI MSCI USA	LU1681042948	ETFS	18/04/2018	Luxembourg	USD	MAIN MARKET
CW8G	AMUNDI INDEX SOLUTIONS	AMUNDI MSCI WORLD	LU1681043672	ETFS	18/04/2018	Luxembourg	GBX	MAIN MARKET
CW8U	AMUNDI INDEX SOLUTIONS	AMUNDI MSCI WORLD	LU1681043672	ETFS	18/04/2018	Luxembourg	USD	MAIN MARKET
CWEG	AMUNDI INDEX SOLUTIONS	AMUNDI MSCI WORLD ENERGY	LU1681046188	ETFS	31/01/2018	Luxembourg	GBX	MAIN MARKET
CWEU	AMUNDI INDEX SOLUTIONS	AMUNDI MSCI WORLD ENERGY	LU1681046188	ETFS	31/01/2018	Luxembourg	USD	MAIN MARKET
CWFG	AMUNDI INDEX SOLUTIONS	AMUNDI MSCI WORLD FINANCIALS	LU1681045966	ETFS	31/01/2018	Luxembourg	GBX	MAIN MARKET
CWFU	AMUNDI INDEX SOLUTIONS	AMUNDI MSCI WORLD FINANCIALS	LU1681045966	ETFS	31/01/2018	Luxembourg	USD	MAIN MARKET
EPRE	AMUNDI INDEX SOLUTIONS	AMUNDI FTSE EPRA EUROPE REAL ESTATE	LU1681039480	ETFS	31/01/2018	Luxembourg	GBX	MAIN MARKET
FT1K	AMUNDI INDEX SOLUTIONS	AMUNDI FTSE 100 UCITS ETF - GBP	LU1437025296	ETFS	13/12/2016	Luxembourg	GBX	MAIN MARKET
JPHG	AMUNDI INDEX SOLUTIONS	AMUNDI NIK400 DH GBP	LU1681039308	ETFS	22/03/2018	Luxembourg	GBX	MAIN MARKET
JPHU	AMUNDI INDEX SOLUTIONS	AMUNDI NIK400 DH USD	LU1681039217	ETFS	22/03/2018	Luxembourg	USD	MAIN MARKET
JPNY	AMUNDI INDEX SOLUTIONS	AMUNDI JPX-NIKKEI 400	LU1681039050	ETFS	22/03/2018	Luxembourg	GBX	MAIN MARKET
LUXG	AMUNDI INDEX SOLUTIONS	AMUNDI S&P GLOBAL LUXURY	LU1681048713	ETFS	31/01/2018	Luxembourg	GBX	MAIN MARKET
