3OIL	BOOST ISSUER PUBLIC LIMITED COMPANY	BOOST WTI OIL 3X LEVERAGE DAILY ETP	IE00B7ZQC614	ETCS			20/12/2012		Ireland	USD	MAIN MARKET	Standard Debt	ETCS	ETCL
3OIS	BOOST ISSUER PUBLIC LIMITED COMPANY	BOOST WTI OIL 3X SHORT DAILY ETP	IE00B7SX5Y86	ETCS			20/12/2012		Ireland	USD	MAIN MARKET	Standard Debt	ETCS	ETCL
3SDE	BOOST ISSUER PUBLIC LIMITED COMPANY	BOOST SHORTDAX 3X DAILY ETP (£)	IE00B8GKPP93	ETCS			19/03/2013	31/12/9999	Ireland	GBX	MAIN MARKET	Standard Debt	ETC2	ECLT
3SGO	BOOST ISSUER PUBLIC LIMITED COMPANY	BOOST GOLD 3X SHORT DAILY ETP (£)	IE00B6X4BP29	ETCS			13/03/2013		Ireland	GBX	MAIN MARKET	Standard Debt	ETC2	ECLT
3SIL	BOOST ISSUER PUBLIC LIMITED COMPANY	BOOST SILVER 3X LEVERAGE DAILY ETP	IE00B7XD2195	ETCS			20/12/2012		Ireland	USD	MAIN MARKET	Standard Debt	ETCS	ETCL
3SIS	BOOST ISSUER PUBLIC LIMITED COMPANY	BOOST SILVER 3X SHORT DAILY ETP	IE00B8JG1787	ETCS			20/12/2012		Ireland	USD	MAIN MARKET	Standard Debt	ETCS	ETCL
3SOI	BOOST ISSUER PUBLIC LIMITED COMPANY	BOOST WTI OIL 3X SHORT DAILY ETP (£)	IE00B7SX5Y86	ETCS			13/03/2013		Ireland	GBX	MAIN MARKET	Standard Debt	ETC2	ECLT
3SSI	BOOST ISSUER PUBLIC LIMITED COMPANY	BOOST SILVER 3X SHORT DAILY ETP (£)	IE00B8JG1787	ETCS			13/03/2013		Ireland	GBX	MAIN MARKET	Standard Debt	ETC2	ECLT
3UKL	BOOST ISSUER PUBLIC LIMITED COMPANY	BOOST FTSE 100 3X LEVERAGE DAILY ETP	IE00B88D2999	ETCS			06/12/2012	31/12/9999	Ireland	GBX	MAIN MARKET	Standard Debt	ETCS	ETCL
BRND	BOOST ISSUER PUBLIC LIMITED COMPANY	BOOST BRENT OIL ETC	IE00BVFZGD11	ETCS			14/04/2015	31/12/9999	Ireland	USD	MAIN MARKET	Standard Debt	ETCS	ECLL
GASD	BOOST ISSUER PUBLIC LIMITED COMPANY	BOOST NATURAL GAS ETC	IE00BVFZGL94	ETCS			14/04/2015	31/12/9999	Ireland	USD	MAIN MARKET	Standard Debt	ETCS	ECLL
GLD	BOOST ISSUER PUBLIC LIMITED COMPANY	BOOST GOLD ETC	IE00BVFZGK87	ETCS			14/04/2015	31/12/9999	Ireland	USD	MAIN MARKET	Standard Debt	ETCS	ECLL
OILZ	BOOST ISSUER PUBLIC LIMITED COMPANY	BOOST WTI OIL 1X SHORT DAILY ETP	IE00BVFZGF35	ETCS			08/06/2016		Ireland	USD	MAIN MARKET	Standard Debt	ETCS	ECLL
OIZL	BOOST ISSUER PUBLIC LIMITED COMPANY	BOOST WTI OIL 1X SHORT DAILY ETP	IE00BVFZGF35	ETCS			08/06/2016	31/12/9999	Ireland	GBX	MAIN MARKET	Standard Debt	ETC2	ECLM
QQQS	BOOST ISSUER PUBLIC LIMITED COMPANY	BOOST NASDAQ 100 3X SHT DAY ETP 30/11/62	IE00B8VZVH32	ETCS			13/12/2012	30/11/2062	Ireland	USD	MAIN MARKET	Standard Debt	ETCS	ENLL
UL3S	BOOST ISSUER PUBLIC LIMITED COMPANY	BOOST US TREASURIES 30Y SHORT DAILY ETP	IE00BF4TW784	ETCS			11/12/2017	31/12/9999	Ireland	GBX	MAIN MARKET	Standard Debt	ETCS	ENLL
WTID	BOOST ISSUER PUBLIC LIMITED COMPANY	BOOST WTI OIL ETC	IE00BVFZGC04	ETCS			14/04/2015	31/12/9999	Ireland	USD	MAIN MARKET	Standard Debt	ETCS	ECLL
60TC	DB ETC INDEX PLC	DB ETC BC OIL EH ETC SECS 02/02/60	DE000A1AQGX1	ETCS			02/02/2010	02/02/2060	Jersey	EUR	MAIN MARKET		CWNR	EIDW
XCT9	DB ETC INDEX PLC	XTRACKERS WTI CRUDE OIL OPTIMUM YIELD ET	GB00B3SC0P31	ETCS			08/07/2010	31/12/9999	Jersey	USD	MAIN MARKET	Standard Debt	ETCS	ECLL
XGLD	DB ETC PLC	XTRACKERS PHYSICAL GOLD ETC	GB00B5840F36	ETCS			22/06/2010	31/12/9999	Jersey	USD	MAIN MARKET	Standard Debt	ETCS	ECLL
XGLS	DB ETC PLC	XTRACKERS PHYSICAL GOLD GBP HEDGED ETC	GB00B68FL050	ETCS			14/04/2011	31/12/9999	Jersey	GBX	MAIN MARKET	Standard Debt	ETCS	ECLL
XPAL	DB ETC PLC	XTRACKERS PHYSICAL PALLADIUM ETC	GB00B5VYVZ75	ETCS			22/07/2010	31/12/9999	Jersey	USD	MAIN MARKET	Standard Debt	ETCS	ECLL
XPLA	DB ETC PLC	XTRACKERS PHYSICAL PLATINUM ETC	GB00B57GJC05	ETCS			22/07/2010	31/12/9999	Jersey	USD	MAIN MARKET	Standard Debt	ETCS	ECLL
XRH0	DB ETC PLC	XTRACKERS PHYSICAL RHODIUM ETC	GB00B684MW17	ETCS			24/05/2011	31/12/9999	Jersey	USD	MAIN MARKET	Standard Debt	ETCS	ECLL
XSIL	DB ETC PLC	XTRACKERS PHYSICAL SILVER ETC	GB00B57Y9462	ETCS			22/06/2010	31/12/9999	Jersey	USD	MAIN MARKET	Standard Debt	ETCS	ECLL
19SX	ETFS COMMODITY SECURITIES LIMITED	KANSAS WHEAT MICRO CLASSIC SECS	JE00B99BG862	ETCS			08/01/2013	31/12/9999	Jersey	USD	MAIN MARKET	Standard Debt	MISC	MISC
19SY	ETFS COMMODITY SECURITIES LIMITED	KANSAS WHEAT MICRO LNGR DATED SECS	JE00B93KRR51	ETCS			08/01/2013	31/12/9999	Jersey	USD	MAIN MARKET	Standard Debt	MISC	MISC
19SZ	ETFS COMMODITY SECURITIES LIMITED	SOYBEAN MEAL MICRO CLASSIC SECS	JE00B99BGC07	ETCS			08/01/2013	31/12/9999	Jersey	USD	MAIN MARKET	Standard Debt	MISC	MISC
19TB	ETFS COMMODITY SECURITIES LIMITED	SOYBEAN MEAL MICRO LNGR DATED SECS	JE00B93PLP62	ETCS			08/01/2013	31/12/9999	Jersey	USD	MAIN MARKET	Standard Debt	MISC	MISC
36YX	ETFS COMMODITY SECURITIES LIMITED	ETFS ALUMINUM	GB00B16TD867	ETCS			27/09/2006	31/12/9999	Jersey	USD	MAIN MARKET	Standard Debt	MISC	MISC
36YY	ETFS COMMODITY SECURITIES LIMITED	ETFS COFFEE	GB00B16TD974	ETCS			27/09/2006	31/12/9999	Jersey	USD	MAIN MARKET	Standard Debt	MISC	MISC
36ZA	ETFS COMMODITY SECURITIES LIMITED	ETFS CORN	GB00B16TDC06	ETCS			27/09/2006	31/12/9999	Jersey	USD	MAIN MARKET	Standard Debt	MISC	MISC
36ZB	ETFS COMMODITY SECURITIES LIMITED	ETFS COTTON	GB00B16TDD13	ETCS			27/09/2006	31/12/9999	Jersey	USD	MAIN MARKET	Standard Debt	MISC	MISC
36ZC	ETFS COMMODITY SECURITIES LIMITED	ETFS CRUDE	GB00B16TDF37	ETCS			27/09/2006	31/12/9999	Jersey	USD	MAIN MARKET	Standard Debt	MISC	MISC
36ZD	ETFS COMMODITY SECURITIES LIMITED	ETFS GASOLINE	GB00B16TDG44	ETCS			27/09/2006	31/12/9999	Jersey	USD	MAIN MARKET	Standard Debt	MISC	MISC
36ZE	ETFS COMMODITY SECURITIES LIMITED	ETFS GOLD	GB00B16TDH50	ETCS			27/09/2006	31/12/9999	Jersey	USD	MAIN MARKET	Standard Debt	MISC	MISC
36ZF	ETFS COMMODITY SECURITIES LIMITED	ETFS HEATING OIL	GB00B16TDJ74	ETCS			27/09/2006	31/12/9999	Jersey	USD	MAIN MARKET	Standard Debt	MISC	MISC
36ZG	ETFS COMMODITY SECURITIES LIMITED	ETFS LEAN HOGS	GB00B16TDK89	ETCS			27/09/2006	31/12/9999	Jersey	USD	MAIN MARKET	Standard Debt	MISC	MISC
36ZH	ETFS COMMODITY SECURITIES LIMITED	ETFS LIVE CATTLE	GB00B16TDL96	ETCS			27/09/2006	31/12/9999	Jersey	USD	MAIN MARKET	Standard Debt	MISC	MISC
36ZI	ETFS COMMODITY SECURITIES LIMITED	ETFS NATURAL GAS	GB00B16TDM04	ETCS			27/09/2006	31/12/9999	Jersey	USD	MAIN MARKET	Standard Debt	MISC	MISC
36ZJ	ETFS COMMODITY SECURITIES LIMITED	ETFS NICKEL	GB00B16TDN11	ETCS			27/09/2006	31/12/9999	Jersey	USD	MAIN MARKET	Standard Debt	MISC	MISC
36ZK	ETFS COMMODITY SECURITIES LIMITED	ETFS SILVER	GB00B16TDP35	ETCS			27/09/2006	31/12/9999	Jersey	USD	MAIN MARKET	Standard Debt	MISC	MISC
36ZL	ETFS COMMODITY SECURITIES LIMITED	ETFS SOYABEAN OIL	GB00B16TDQ42	ETCS			27/09/2006	31/12/9999	Jersey	USD	MAIN MARKET	Standard Debt	MISC	MISC
36ZM	ETFS COMMODITY SECURITIES LIMITED	ETFS SOYABEAN	GB00B16TDR58	ETCS			27/09/2006	31/12/9999	Jersey	USD	MAIN MARKET	Standard Debt	MISC	MISC
36ZN	ETFS COMMODITY SECURITIES LIMITED	ETFS SUGAR	GB00B16TDS65	ETCS			27/09/2006	31/12/9999	Jersey	USD	MAIN MARKET	Standard Debt	MISC	MISC
36ZO	ETFS COMMODITY SECURITIES LIMITED	ETFS WHEAT	GB00B16TDT72	ETCS			27/09/2006	31/12/9999	Jersey	USD	MAIN MARKET	Standard Debt	MISC	MISC
36ZP	ETFS COMMODITY SECURITIES LIMITED	ETFS ZINC	GB00B16TDV94	ETCS			27/09/2006	31/12/9999	Jersey	USD	MAIN MARKET	Standard Debt	MISC	MISC
36ZQ	ETFS COMMODITY SECURITIES LIMITED	ETFS COPPER	GB00B16TDB98	ETCS			27/09/2006	31/12/9999	Jersey	USD	MAIN MARKET	Standard Debt	MISC	MISC
38CQ	ETFS COMMODITY SECURITIES LIMITED	FORWARD NICKEL (MICRO SECURITIES)	JE00B24F2860	ETCS			10/10/2007	31/12/9999	Jersey	USD	MAIN MARKET	Standard Debt	MISC	MISC
38CR	ETFS COMMODITY SECURITIES LIMITED	FORWARD SILVER (MICRO SECURITIES)	JE00B24F2977	ETCS			10/10/2007	31/12/9999	Jersey	USD	MAIN MARKET	Standard Debt	MISC	MISC
38CS	ETFS COMMODITY SECURITIES LIMITED	FORWARD SOYBEAN OIL (MICRO SECURITIES)	JE00B24F2B92	ETCS			10/10/2007	31/12/9999	Jersey	USD	MAIN MARKET	Standard Debt	MISC	MISC
38CT	ETFS COMMODITY SECURITIES LIMITED	FORWARD SOYBEANS (MICRO SECURITIES)	JE00B24F2C00	ETCS			10/10/2007	31/12/9999	Jersey	USD	MAIN MARKET	Standard Debt	MISC	MISC
38CU	ETFS COMMODITY SECURITIES LIMITED	FORWARD SUGAR (MICRO SECURITIES)	JE00B24F2D17	ETCS			10/10/2007	31/12/9999	Jersey	USD	MAIN MARKET	Standard Debt	MISC	MISC
38CV	ETFS COMMODITY SECURITIES LIMITED	FORWARD WHEAT (MICRO SECURITIES)	JE00B24F2F31	ETCS			10/10/2007	31/12/9999	Jersey	USD	MAIN MARKET	Standard Debt	MISC	MISC
38CW	ETFS COMMODITY SECURITIES LIMITED	FORWARD ZINC (MICRO SECURITIES)	JE00B24F2G48	ETCS			10/10/2007	31/12/9999	Jersey	USD	MAIN MARKET	Standard Debt	MISC	MISC
3AUL	ETFS COMMODITY SECURITIES LIMITED	ETFS 3X DAILY LONG GOLD	JE00BYQY4X40	ETCS			23/11/2015	31/12/9999	Jersey	USD	MAIN MARKET	Standard Debt	ETCS	ECLL
