HYUO	HYUNDAI MOTOR COMPANY	GDS (EACH REPR 1/2 ORD KRW5000)	US4491877076	DPRS	Consumer Goods	Automobiles & Parts	13/11/2008	South Korea	USD	ADMISSION TO TRADING ONLY		IOBU	INLN
HYUP	HYUNDAI MOTOR COMPANY	GDS (EACH REPR 1/2 PREF  KRW5000)	US4491875096	DPRS	Consumer Goods	Automobiles & Parts	13/11/2008	South Korea	USD	ADMISSION TO TRADING ONLY		IOBU	INLN
14VM	IG SEISMIC SERVICES PLC	GDR (EACH REPR 2 ORDS) (144A)	US4495971032	DPRS	Oil & Gas	Oil & Gas	12/12/2012	Cyprus	USD	MAIN MARKET	Standard GDRs	MISC	INTM
IGSS	IG SEISMIC SERVICES PLC	GDR (EACH REPR 2 ORDS) (REG S)	US4495972022	DPRS	Oil & Gas	Oil & Gas	12/12/2012	Cyprus	USD	MAIN MARKET	Standard GDRs	IOBE	LLHE
37QB	JSC HALYK BANK	GDR (EACH REPR 40 COM SHS) (144A)	US46627J2033	DPRS	Financials	Banks	20/12/2006	Kazakhstan	USD	MAIN MARKET	Standard GDRs	MISC	INTM
HSBK	JSC HALYK BANK	GDR (EACH REPR 40 COM SHS) (REG S)	US46627J3023	DPRS	Financials	Banks	14/12/2006	Kazakhstan	USD	MAIN MARKET	Standard GDRs	IOBE	LLHE
36GK	JSC VTB BANK	GDR (EACH REPR 2,000 SHS)(144A)	US46630Q1031	DPRS	Financials	Banks	17/05/2007	Russian Federation	USD	MAIN MARKET	Standard GDRs	MISC	INTM
VTBR	JSC VTB BANK	GDR (EACH REPR 2,000 SHS)(REGS)	US46630Q2021	DPRS	Financials	Banks	11/05/2007	Russian Federation	USD	MAIN MARKET	Standard GDRs	IOBE	LLHE
19PS	KCELL JOINT STOCK COMPANY	GDR (EACH REPR 1 COM SHR) (144A)	US48668G1067	DPRS	Telecommunications	Telecommunications	15/12/2012	Kazakhstan	USD	MAIN MARKET	Standard GDRs	MISC	INTM
KCEL	KCELL JOINT STOCK COMPANY	GDR (EACH REPR 1 COM SHR) (REG S)	US48668G2057	DPRS	Telecommunications	Telecommunications	15/12/2012	Kazakhstan	USD	MAIN MARKET	Standard GDRs	IOBE	LLHE
56UB	KUMHO TIRE CO INC	GDR (REPR 1/2 OF COM SHS KRW5000)(144A)	US50125M1062	DPRS	Consumer Goods	Automobiles & Parts	16/02/2005	South Korea	USD	MAIN MARKET	Standard GDRs	MISC	INTM
KHTC	KUMHO TIRE CO INC	GDR (REPR 1/2 OF COM SHS KRW5000)	US50125M2052	DPRS	Consumer Goods	Automobiles & Parts	16/02/2005	South Korea	USD	MAIN MARKET	Standard GDRs	IOBU	LLLN
LTOD	LARSEN AND TOUBRO LIMITED	GDS (REPR 1 ORD INR2)(REG'S')	USY5217N1183	DPRS	Industrials	Construction & Materials	27/09/2004	India	USD	ADMISSION TO TRADING ONLY		IOBE	INHE
LNTA	LENTA LTD	GDR (EACH 5 REPR 1 ORD) (REG S)	US52634T2006	DPRS	Consumer Services	Retail	05/03/2014	British Virgin Islands	USD	MAIN MARKET	Standard GDRs	IOBE	LLHE
LNTR	LENTA LTD	GDR (EACH 5 REPR 1 ORD) (144A)	US52634T1016	DPRS	Consumer Services	Retail	05/03/2014	British Virgin Islands	USD	MAIN MARKET	Standard GDRs	MISC	INTM
39IB	LG ELECTRONICS INC	GDS (REPR 1/2 NON-VTG STK KWN5000)(144A)	US50186Q2021	DPRS	Consumer Goods	Personal & Household Goods	05/09/2002	South Korea	USD	MAIN MARKET	Standard GDRs	MISC	INTM
LGLD	LG ELECTRONICS INC	GDS(REPR 1/2 NON-VTG STK KWN5000)(REG S)	US50186Q2021	DPRS	Consumer Goods	Personal & Household Goods	27/09/2004	South Korea	USD	MAIN MARKET	Standard GDRs	IOBU	LLLN
LTTD	LITE-ON TECHNOLOGY CORPORATION	GDR(REPR 10 ORD TWD10)(REG S)	US5367593010	DPRS	Industrials	Industrial Goods & Services	27/07/2007	Taiwan	USD	PROFESSIONAL SECURITIES MARKET	Standard GDRs	IOBU	IPLN
LTTG	LITE-ON TECHNOLOGY CORPORATION	GDR (REPR 10 ORD TWD10)(144A)	US5367594000	DPRS	Industrials	Industrial Goods & Services	27/07/2007	Taiwan	USD	PROFESSIONAL SECURITIES MARKET	Standard GDRs	MISC	INPD
LLD2	LLOYDS BANKING GROUP PLC	ADR (EACH REPR 6.413% PREF SHS) 144A	US539439AC38	DPRS	Financials	Banks	19/01/2009	United Kingdom	USD	MAIN MARKET	Standard Debt	MISL	ADPL
LKCA	LUCKY CEMENT LIMITED	GDR (EACH REPR 4 EQTY SHS) (144A)	US5495201049	DPRS			08/05/2008	Pakistan	USD	PROFESSIONAL SECURITIES MARKET	Standard GDRs	MISC	INPD
LKCS	LUCKY CEMENT LIMITED	GDR (EACH REPR 4 EQTY SHS) (REG S)	US5495202039	DPRS			13/05/2008	Pakistan	USD	PROFESSIONAL SECURITIES MARKET	Standard GDRs	IOBU	IPLN
11KQ	MADINET NASR FOR HOUSING & DEVELOPMENT S.A.E.	GDR (REPR 4 ORDS) 144A	US5565241065	DPRS			22/12/2017	Egypt	USD	ADMISSION TO TRADING ONLY		MISC	INAD
MNHD	MADINET NASR FOR HOUSING & DEVELOPMENT S.A.E.	GDR (REPR 4 ORD) REG S	US5565242055	DPRS			22/12/2017	Egypt	USD	ADMISSION TO TRADING ONLY		IOBU	INLU
MOLD	MAGYAR OLAJ-ES GAZIPARE RESZVENYTAR	GDS (EACH REPR 1/2 ORD SHR)(REG S)	US6084642023	DPRS	Oil & Gas	Oil & Gas	27/09/2004	Hungary	USD	ADMISSION TO TRADING ONLY		IOBU	INLN
MAVD	MAGYAR TELEKOM TELECOMMUNICATIONS PLC	ADS (EACH REPR 5 SHS HUF100)	US5597761098	DPRS	Telecommunications	Telecommunications	27/09/2004	Hungary	USD	ADMISSION TO TRADING ONLY		IOBU	INLU
MHID	MAHINDRA & MAHINDRA LIMITED	GDR (REPR 1 ORD INR10 REG 'S')	USY541641194	DPRS	Industrials	Industrial Goods & Services	27/09/2004	India	USD	ADMISSION TO TRADING ONLY		IOBE	INHE
61HE	MAIL.RU GROUP LIMITED	GDR (EACH REPR 1 ORD) (144A)	US5603171092	DPRS	Technology	Technology	05/11/2010	British Virgin Islands	USD	MAIN MARKET	Standard GDRs	MISC	INTM
MAIL	MAIL.RU GROUP LIMITED	GDR (EACH REPR 1 ORD) (REG S)	US5603172082	DPRS	Technology	Technology	05/11/2010	British Virgin Islands	USD	MAIN MARKET	Standard GDRs	IOBE	LLHE
05IS	MANDO MACHINERY CORPORATION	GDR (EACH REPR 1/2 SHS COM STK)(144 A)	US5626651096	DPRS	Consumer Goods	Automobiles & Parts	09/07/1998	South Korea	USD	MAIN MARKET	Standard GDRs	MISC	INTM
MNMD	MANDO MACHINERY CORPORATION	GDR (REPR 1/2 SHS COM STK)(REG S)	USY576241019	DPRS	Consumer Goods	Automobiles & Parts	29/09/2004	South Korea	USD	MAIN MARKET	Standard GDRs	IOBU	LLLN
14NY	MD MEDICAL GROUP INVESTMENTS PLC	GDR (EACH REPR 1 ORD) (144A)	US55279C1018	DPRS	Health Care	Health Care	17/10/2012	Cyprus	USD	MAIN MARKET	Standard GDRs	MISC	INTM
MDMG	MD MEDICAL GROUP INVESTMENTS PLC	GDR (EACH REPR 1 ORD) (REG S)	US55279C2008	DPRS	Health Care	Health Care	12/10/2012	Cyprus	USD	MAIN MARKET	Standard GDRs	IOBE	LLHE
71HT	MHP SE	GDR (EACH REPR 1 ORD) (144A)	US55302T1051	DPRS	Consumer Goods	Food & Beverage	14/05/2008	Luxembourg	USD	MAIN MARKET	Standard GDRs	MISC	INTM
MHPC	MHP SE	GDR (EACH REPR 1 ORD) (REG S)	US55302T2042	DPRS	Consumer Goods	Food & Beverage	09/05/2008	Luxembourg	USD	MAIN MARKET	Standard GDRs	IOBE	LLHE
NPSN	NASPERS LIMITED	ADR (5 ADRS REPR 1 CLS N ORD)	US6315122092	DPRS			11/08/2017	South Africa	USD	MAIN MARKET	Standard GDRs	IOBU	LLLU
NLMA	NOVOLIPETSK STEEL	GDS EACH REPR 10 ORD RUB1 '144A'	US67011E1055	DPRS	Basic Materials	Basic Resources	09/12/2005	Russian Federation	USD	MAIN MARKET	Standard GDRs	MISC	INTM
NLMK	NOVOLIPETSK STEEL	GDS EACH REPR 10 ORD RUB1 'REG S'	US67011E2046	DPRS	Basic Materials	Basic Resources	09/12/2005	Russian Federation	USD	MAIN MARKET	Standard GDRs	IOBE	LLHE
37OC	OIL AND GAS DEVELOPMENT COMPANY LIMITED	GDR (EACH REPR 10 ORD)(144A)	US67778Q1013	DPRS	Oil & Gas	Oil & Gas	06/12/2006	Pakistan	USD	MAIN MARKET	Standard GDRs	MISC	INTM
OGDC	OIL AND GAS DEVELOPMENT COMPANY LIMITED	GDR (EACH REPR 10 ORD)(REGS)	US67778Q2003	DPRS	Oil & Gas	Oil & Gas	06/12/2006	Pakistan	USD	MAIN MARKET	Standard GDRs	IOBE	LLHE
RKMD	OJSC ROSTELECOM	ADR (EACH REPR 6 RUB0.0025)(LEVEL I)	US7785291078	DPRS	Telecommunications	Telecommunications	27/09/2004	Russian Federation	USD	ADMISSION TO TRADING ONLY		IOBE	INHE
61HD	O'KEY GROUP S.A.	GDR (EACH REPR 1 ORD) (144A)	US6708661029	DPRS	Consumer Services	Retail	04/11/2010	Luxembourg	USD	MAIN MARKET	Standard GDRs	MISC	INTM
OKEY	O'KEY GROUP S.A.	GDR (EACH REPR 1 ORD) (REG S)	US6708662019	DPRS	Consumer Services	Retail	04/11/2010	Luxembourg	USD	MAIN MARKET	Standard GDRs	IOBE	LLHE
PETB	OMV PETROM S.A.	GDR (EACH REPR 150 ORD) (REG S)	US67102R3049	DPRS			20/10/2016	Romania	USD	MAIN MARKET	Standard GDRs	IOBE	LLHE
PETR	OMV PETROM S.A.	GDR (EACH REPR 150 ORD) (144A)	US67102R2058	DPRS			20/10/2016	Romania	USD	MAIN MARKET	Standard GDRs	MISC	INTM
OIH	ORASCOM INVESTMENT HOLDING S.A.E	GDR (EACH REPR 5 ORD)(REG S)	US68555D2062	DPRS	Telecommunications	Telecommunications	13/03/2012	Egypt	USD	MAIN MARKET	Standard GDRs	IOBE	LLHE
OCP	ORCHID PHARMA LIMITED	GDR (EACH REPR 1 ORD OF INR10)(REGS)	US68572Y2090	DPRS	Health Care	Health Care	03/11/2005	India	USD	ADMISSION TO TRADING ONLY		IOBU	INLU
OCPA	ORCHID PHARMA LIMITED	GDR (EACH REPR 1 ORD OF INR10)(144A)	US68572Y1001	DPRS	Health Care	Health Care	28/10/2005	India	USD	ADMISSION TO TRADING ONLY		MISC	INAD
OTPD	OTP BANK PLC	GDR (EACH REPR 1/2 ORD HUF100)(REG S)	USX607461166	DPRS	Financials	Banks	27/09/2004	Hungary	USD	ADMISSION TO TRADING ONLY		IOBU	INLN
47KT	PAINTS & CHEMICAL INDUSTRIES COMPANY S.A.E.	GDR (REPR 1/3 SHR)(144A)	US69578R1077	DPRS			09/07/1998	Egypt	USD	MAIN MARKET	Standard GDRs	MISC	INTM
PCLD	PAINTS & CHEMICAL INDUSTRIES COMPANY S.A.E.	GDR (REPR 1/3 SHS)(REG S)	US69578R2067	DPRS			27/09/2004	Egypt	USD	MAIN MARKET	Standard GDRs	IOBU	LLLN
38KN	PALM HILLS DEVELOPMENTS S.A.E	GDR (EACH REPR 20 ORD) (144A)	US6966404088	DPRS			01/08/2016	Egypt	USD	MAIN MARKET	Standard GDRs	MISC	INTM
PHDC	PALM HILLS DEVELOPMENTS S.A.E	GDR (EACH REPR 20 ORD) (REG S)	US6966405077	DPRS			01/08/2016	Egypt	USD	MAIN MARKET	Standard GDRs	IOBU	LLLN
NVTK	PAO NOVATEK	GDR (EACH REPR 10 ORD) 'REG S'	US6698881090	DPRS	Oil & Gas	Oil & Gas	21/07/2005	Russian Federation	USD	MAIN MARKET	Standard GDRs	IOBE	LLHE
69SI	PAO TMK	GDR(EACH REPR 4 ORDS) (144A)	US87260R1023	DPRS	Basic Materials	Basic Resources	03/11/2006	Russian Federation	USD	MAIN MARKET	Standard GDRs	MISC	INTM
TMKS	PAO TMK	GDR(EACH REPR 4 ORDS) (REGS)	US87260R2013	DPRS	Basic Materials	Basic Resources	01/11/2006	Russian Federation	USD	MAIN MARKET	Standard GDRs	IOBE	LLHE
